SOURCE,RUNOFF_SOURCE_TOTAL,TOTAL_RUNOFF,F_SOURCE_TOTAL
RAIN,1.6776732648599104,11.2,0.14979225579106345
SNOW,3.2872249240873206,11.2,0.29350222536493936
GLACIER,0.5235294117647059,11.2,0.046743697478991604
UNKNOWN,5.711572399288063,11.2,0.5099618213650057
